OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,Region,PromoCode,ReturnFlag
1,104,2023-01-15,Item C,Home,7,493.19,West,SUMMER23,0
2,105,2023-03-06,Product C,Electronics,7,180.88,East,SUMMER23,1
3,103,2023-11-23,Product C,Electronics,7,179.03,Coast,,1
4,105,2023-12-10,Prod B,Eletronics,-1,404.53,North,SUMMER23,1
5,105,1684159200.0,ProdA,Electronics,0,473.1,North,SUMMER23,1
6,102,03-04-23,ProdA,Home,6,492.86,South,,1
7,103,1679403600.0,Prod B,Electronics,4,374.22,East,WINTER22,0
8,103,06-12-23,Prod B,,1,181.89,South,,1
9,103,10-16-23,Prod B,E-Commerce,7,32.59,South,SUMMER23,0
10,105,18/09/2023,Item C,Home,2,386.34,South,,0
11,104,19/08/2023,ProdA,Eletronics,-1,274.79,Coast,WINTER22,1
12,103,1675947600.0,Item C,Electronics,8,206.35,Coast,,0
13,106,2023-05-15,Prod B,Home,5,452.24,,SUMMER23,0
14,105,1700744400.0,ProdA,Home,1,46.71,,WINTER22,0
15,102,1675256400.0,Item C,Home,6,241.24,South,SPRING23,0
16,104,1677762000.0,Item C,Electronics,2,-4.21,East,SUMMER23,1
17,106,10-20-23,Prod B,Electronics,6,229.02,North,WINTER22,0
18,106,1687269600.0,ProdA,Eletronics,1,18.71,Coast,WINTER22,1
19,102,08-02-23,Prod B,,7,50.6,East,SPRING23,1
20,104,2023-02-04,ProdA,Eletronics,2,49.94,West,,0
21,105,2023-08-15,Product C,Home,6,321.1,Coast,,1
22,101,2023-05-11,Product A,Electronics,5,370.48,Coast,SUMMER23,1
23,104,05/01/2023,Product A,Home,0,287.52,,SPRING23,1
24,102,12/09/2023,Product A,E-Commerce,-2,480.71,North,,0
25,106,12-25-23,Prod B,Home,0,181.18,North,SPRING23,1
26,105,07-26-23,Product C,Electronics,1,135.71,West,,1
27,104,12/12/2023,ProdA,E-Commerce,-1,432.99,West,WINTER22,1
28,101,06-28-23,Item C,Home,-2,104.03,Coast,,0
29,101,12-18-23,ProdA,Electronics,4,481.24,South,SPRING23,1
30,103,1693231200.0,Item C,Electronics,5,-3.8,,WINTER22,0
31,103,1680703200.0,ProdA,Home,4,484.64,,WINTER22,0
32,102,2023-08-10,Product C,Home,2,12.01,Coast,WINTER22,0
33,104,2023-08-19,Item C,Electronics,9,444.48,East,SPRING23,0
34,104,05-23-23,Prod B,Eletronics,-2,259.13,South,SUMMER23,0
35,106,1674910800.0,ProdA,E-Commerce,4,496.41,Coast,SUMMER23,0
36,106,1673528400.0,ProdA,Home,4,27.64,South,SUMMER23,1
37,106,11-23-23,Item C,Electronics,6,272.47,South,SPRING23,0
38,103,31/08/2023,Prod B,Electronics,0,484.34,South,WINTER22,1
39,104,11/10/2023,Prod B,Electronics,6,256.78,Coast,SUMMER23,1
40,104,2023-06-19,Product C,E-Commerce,-2,310.99,,SPRING23,0
41,101,2023-03-03,Prod B,Home,-2,344.83,,SUMMER23,1
42,103,1683986400.0,Prod B,Electronics,1,221.82,South,,1
43,105,1674824400.0,Prod B,Home,6,310.05,East,SUMMER23,1
44,103,1676206800.0,Product A,E-Commerce,3,288.0,North,SUMMER23,1
45,105,13/10/2023,Product C,Electronics,8,449.59,Coast,WINTER22,0
46,101,1701003600.0,ProdA,Electronics,0,13.18,North,SPRING23,1
47,102,2023-12-14,Item C,Electronics,-2,133.29,East,WINTER22,0
48,104,19/08/2023,ProdA,Home,1,474.71,Coast,WINTER22,1
49,101,2023-08-13,Product C,Home,9,444.03,South,WINTER22,1
50,104,10/10/2023,Item C,,6,222.38,,WINTER22,0
51,106,1682863200.0,Product C,Home,0,306.27,North,WINTER22,1
52,102,08-21-23,Prod B,E-Commerce,9,131.46,West,SUMMER23,1
53,102,25/12/2023,Item C,Home,6,85.94,West,WINTER22,1
54,101,17/05/2023,Prod B,Electronics,4,226.49,East,WINTER22,0
55,102,2023-06-14,ProdA,,9,170.21,South,SPRING23,1
56,105,03/11/2023,ProdA,Electronics,1,287.66,North,,0
57,102,1687269600.0,Item C,Electronics,0,29.64,South,SUMMER23,1
58,104,11/11/2023,Item C,Eletronics,7,486.94,North,SUMMER23,0
59,104,1686232800.0,Product C,Electronics,2,492.97,East,SUMMER23,0
60,104,1692540000.0,Product C,Electronics,2,346.06,East,WINTER22,1
61,104,23/04/2023,Prod B,Eletronics,0,263.41,West,WINTER22,1
62,105,1676898000.0,Item C,Home,9,147.86,South,WINTER22,0
63,103,22/10/2023,ProdA,Electronics,6,405.04,Coast,SPRING23,0
64,106,2023-04-23,Product C,Electronics,1,339.21,West,,1
65,101,1682172000.0,Product C,Home,8,72.93,South,WINTER22,0
66,104,03-22-23,ProdA,Home,2,454.57,West,,1
67,102,23/04/2023,Product C,Eletronics,1,409.49,Coast,SPRING23,1
68,104,1683640800.0,Prod B,E-Commerce,2,474.4,,SUMMER23,1
69,102,02-23-23,Item C,Home,4,360.12,,WINTER22,1
